depth,minimax_nodes,minimax_time,minimax_b_eff,alpha_beta_nodes,alpha_beta_time,alpha_beta_b_eff
1,5,0.0002391338348388672,5.0,4,0.0009043216705322266,4.0
2,17,0.0006849765777587891,4.123105625617661,16,0.0037169456481933594,4.0
3,73,0.0023429393768310547,4.179339196381232,65,0.01287531852722168,4.020725758589058
4,317,0.014839649200439453,4.21953715646217,195,0.03803277015686035,3.736875706224244
